Counties,male,female,unknown_gender,Total_gender,Year
ALAMANCE ,980,876,0,1856,2016
ALEXANDER ,173,170,0,343,2016
ALLEGHANY ,50,45,0,95,2016
ANSON ,141,125,0,266,2016
ASHE ,109,100,0,209,2016
AVERY ,81,68,0,149,2016
BEAUFORT ,209,222,0,431,2016
BERTIE ,86,104,0,190,2016
BLADEN ,176,157,0,333,2016
BRUNSWICK ,507,471,0,978,2016
BUNCOMBE ,1322,1273,0,2595,2016
BURKE ,447,453,0,900,2016
CABARRUS ,1298,1179,0,2477,2016
CALDWELL ,419,403,0,822,2016
CAMDEN ,49,41,0,90,2016
CARTERET ,280,266,0,546,2016
CASWELL ,96,107,0,203,2016
CATAWBA ,860,804,0,1664,2016
CHATHAM ,344,296,0,640,2016
CHEROKEE ,150,107,0,257,2016
CHOWAN ,54,59,0,113,2016
CLAY ,57,44,0,101,2016
CLEVELAND ,544,515,0,1059,2016
COLUMBUS ,288,305,0,593,2016
CRAVEN ,759,680,0,1439,2016
CUMBERLAND ,2826,2620,0,5446,2016
CURRITUCK ,135,127,0,262,2016
DARE ,171,148,0,319,2016
DAVIDSON ,896,875,0,1771,2016
DAVIE ,226,194,0,420,2016
DUPLIN ,360,346,0,706,2016
DURHAM ,2152,2194,0,4346,2016
EDGECOMBE ,296,271,0,567,2016
FORSYTH ,2342,2153,0,4495,2016
FRANKLIN ,342,341,0,683,2016
GASTON ,1295,1229,0,2524,2016
GATES ,54,57,0,111,2016
GRAHAM ,48,36,0,84,2016
GRANVILLE ,285,285,0,570,2016
GREENE ,96,111,0,207,2016
GUILFORD ,3227,3031,0,6258,2016
HALIFAX ,277,282,0,559,2016
HARNETT ,959,902,0,1861,2016
HAYWOOD ,343,273,0,616,2016
HENDERSON ,563,526,0,1089,2016
HERTFORD ,112,111,0,223,2016
HOKE ,489,446,0,935,2016
HYDE ,23,16,0,39,2016
IREDELL ,994,930,0,1924,2016
JACKSON ,202,190,0,392,2016
JOHNSTON ,1170,1166,0,2336,2016
JONES ,49,34,0,83,2016
LEE ,413,397,0,810,2016
LENOIR ,314,333,0,647,2016
LINCOLN ,411,398,0,809,2016
MCDOWELL ,249,195,0,444,2016
MACON ,169,164,0,333,2016
MADISON ,98,98,0,196,2016
MARTIN ,127,110,0,237,2016
MECKLENBURG ,7655,7220,1,14876,2016
MITCHELL ,72,69,0,141,2016
MONTGOMERY ,145,151,0,296,2016
MOORE ,594,538,0,1132,2016
NASH ,536,480,0,1016,2016
NEW HANOVER ,1171,1070,0,2241,2016
NORTHAMPTON ,103,97,0,200,2016
ONSLOW ,2051,1908,0,3959,2016
ORANGE ,595,571,0,1166,2016
PAMLICO ,57,41,0,98,2016
PASQUOTANK ,242,237,0,479,2016
PENDER ,320,331,0,651,2016
PERQUIMANS ,35,87,0,122,2016
PERSON ,202,199,0,401,2016
PITT ,1019,1003,1,2023,2016
POLK ,65,75,0,140,2016
RANDOLPH ,802,798,0,1600,2016
RICHMOND ,251,267,0,518,2016
ROBESON ,930,845,0,1775,2016
ROCKINGHAM ,481,456,0,937,2016
ROWAN ,825,825,0,1650,2016
RUTHERFORD ,325,334,0,659,2016
SAMPSON ,419,412,0,831,2016
SCOTLAND ,211,244,0,455,2016
STANLY ,357,333,0,690,2016
STOKES ,192,188,0,380,2016
SURRY ,349,374,0,723,2016
SWAIN ,88,81,0,169,2016
TRANSYLVANIA ,126,137,0,263,2016
TYRRELL ,30,21,0,51,2016
UNION ,1259,1157,0,2416,2016
VANCE ,276,254,0,530,2016
WAKE ,6760,6259,0,13019,2016
WARREN ,79,98,0,177,2016
WASHINGTON ,54,72,0,126,2016
WATAUGA ,192,175,0,367,2016
WAYNE ,829,807,0,1636,2016
WILKES ,369,322,0,691,2016
WILSON ,500,464,0,964,2016
YADKIN ,188,204,0,392,2016
YANCEY ,78,76,0,154,2016
