Counties,Singleton,Twins,Other_Multiples,Unknown_plural,Total_plural,Year
ALAMANCE ,1812,44,0,0,1856,2016
ALEXANDER ,337,6,0,0,343,2016
ALLEGHANY ,91,4,0,0,95,2016
ANSON ,260,6,0,0,266,2016
ASHE ,201,8,0,0,209,2016
AVERY ,143,6,0,0,149,2016
BEAUFORT ,427,4,0,0,431,2016
BERTIE ,187,3,0,0,190,2016
BLADEN ,323,10,0,0,333,2016
BRUNSWICK ,939,36,3,0,978,2016
BUNCOMBE ,2508,86,1,0,2595,2016
BURKE ,870,30,0,0,900,2016
CABARRUS ,2390,84,3,0,2477,2016
CALDWELL ,786,36,0,0,822,2016
CAMDEN ,90,0,0,0,90,2016
CARTERET ,536,10,0,0,546,2016
CASWELL ,192,8,3,0,203,2016
CATAWBA ,1603,58,3,0,1664,2016
CHATHAM ,612,25,3,0,640,2016
CHEROKEE ,251,6,0,0,257,2016
CHOWAN ,109,4,0,0,113,2016
CLAY ,97,4,0,0,101,2016
CLEVELAND ,1023,36,0,0,1059,2016
COLUMBUS ,577,16,0,0,593,2016
CRAVEN ,1405,34,0,0,1439,2016
CUMBERLAND ,5278,162,6,0,5446,2016
CURRITUCK ,254,8,0,0,262,2016
DARE ,307,12,0,0,319,2016
DAVIDSON ,1721,50,0,0,1771,2016
DAVIE ,406,14,0,0,420,2016
DUPLIN ,688,18,0,0,706,2016
DURHAM ,4202,129,15,0,4346,2016
EDGECOMBE ,529,38,0,0,567,2016
FORSYTH ,4317,178,0,0,4495,2016
FRANKLIN ,655,28,0,0,683,2016
GASTON ,2424,91,9,0,2524,2016
GATES ,109,2,0,0,111,2016
GRAHAM ,80,4,0,0,84,2016
GRANVILLE ,548,22,0,0,570,2016
GREENE ,199,8,0,0,207,2016
GUILFORD ,6035,220,3,0,6258,2016
HALIFAX ,538,18,3,0,559,2016
HARNETT ,1762,93,6,0,1861,2016
HAYWOOD ,596,20,0,0,616,2016
HENDERSON ,1052,34,3,0,1089,2016
HERTFORD ,217,6,0,0,223,2016
HOKE ,900,32,3,0,935,2016
HYDE ,39,0,0,0,39,2016
IREDELL ,1863,61,0,0,1924,2016
JACKSON ,380,12,0,0,392,2016
JOHNSTON ,2262,71,3,0,2336,2016
JONES ,79,4,0,0,83,2016
LEE ,785,25,0,0,810,2016
LENOIR ,631,16,0,0,647,2016
LINCOLN ,781,28,0,0,809,2016
MCDOWELL ,425,19,0,0,444,2016
MACON ,331,2,0,0,333,2016
MADISON ,194,2,0,0,196,2016
MARTIN ,231,6,0,0,237,2016
MECKLENBURG ,14287,571,18,0,14876,2016
MITCHELL ,137,4,0,0,141,2016
MONTGOMERY ,288,8,0,0,296,2016
MOORE ,1086,46,0,0,1132,2016
NASH ,978,38,0,0,1016,2016
NEW HANOVER ,2161,80,0,0,2241,2016
NORTHAMPTON ,187,10,3,0,200,2016
ONSLOW ,3866,93,0,0,3959,2016
ORANGE ,1123,43,0,0,1166,2016
PAMLICO ,94,4,0,0,98,2016
PASQUOTANK ,470,9,0,0,479,2016
PENDER ,619,32,0,0,651,2016
PERQUIMANS ,118,4,0,0,122,2016
PERSON ,388,13,0,0,401,2016
PITT ,1954,63,6,0,2023,2016
POLK ,140,0,0,0,140,2016
RANDOLPH ,1542,58,0,0,1600,2016
RICHMOND ,504,14,0,0,518,2016
ROBESON ,1729,46,0,0,1775,2016
ROCKINGHAM ,909,28,0,0,937,2016
ROWAN ,1598,52,0,0,1650,2016
RUTHERFORD ,631,28,0,0,659,2016
SAMPSON ,799,32,0,0,831,2016
SCOTLAND ,439,16,0,0,455,2016
STANLY ,668,22,0,0,690,2016
STOKES ,369,8,3,0,380,2016
SURRY ,711,12,0,0,723,2016
SWAIN ,165,4,0,0,169,2016
TRANSYLVANIA ,255,8,0,0,263,2016
TYRRELL ,51,0,0,0,51,2016
UNION ,2337,74,5,0,2416,2016
VANCE ,508,22,0,0,530,2016
WAKE ,12466,535,18,0,13019,2016
WARREN ,169,8,0,0,177,2016
WASHINGTON ,116,10,0,0,126,2016
WATAUGA ,355,12,0,0,367,2016
WAYNE ,1590,46,0,0,1636,2016
WILKES ,667,24,0,0,691,2016
WILSON ,926,38,0,0,964,2016
YADKIN ,377,12,3,0,392,2016
YANCEY ,152,2,0,0,154,2016
