Counties,None_Care,First_Trimester,Second_Trimester,Third_Trimester,Unknown_Care,Total_Care,Year
ALAMANCE ,36,1336,438,103,26,1939,2017
ALEXANDER ,7,295,57,17,1,377,2017
ALLEGHANY ,2,80,16,3,1,102,2017
ANSON ,8,161,60,24,3,256,2017
ASHE ,2,165,36,12,1,216,2017
AVERY ,2,88,13,5,1,109,2017
BEAUFORT ,1,339,106,20,4,470,2017
BERTIE ,1,132,31,6,1,171,2017
BLADEN ,9,183,106,25,2,325,2017
BRUNSWICK ,17,688,220,51,31,1007,2017
BUNCOMBE ,39,2033,227,57,36,2392,2017
BURKE ,19,631,219,53,5,927,2017
CABARRUS ,35,1756,645,135,22,2593,2017
CALDWELL ,8,569,143,59,4,783,2017
CAMDEN ,0,72,15,2,0,89,2017
CARTERET ,4,460,74,27,2,567,2017
CASWELL ,3,147,38,12,4,204,2017
CATAWBA ,32,1241,290,87,2,1652,2017
CHATHAM ,5,469,152,24,13,663,2017
CHEROKEE ,4,173,36,5,3,221,2017
CHOWAN ,1,103,24,6,0,134,2017
CLAY ,0,74,13,2,0,89,2017
CLEVELAND ,26,675,291,57,16,1065,2017
COLUMBUS ,15,278,153,39,93,578,2017
CRAVEN ,19,1009,251,103,4,1386,2017
CUMBERLAND ,89,3948,1190,253,26,5506,2017
CURRITUCK ,4,186,44,4,19,257,2017
DARE ,2,250,78,6,8,344,2017
DAVIDSON ,12,1326,334,85,5,1762,2017
DAVIE ,2,282,67,16,2,369,2017
DUPLIN ,17,424,166,39,7,653,2017
DURHAM ,60,2838,1046,219,19,4182,2017
EDGECOMBE ,17,337,232,43,2,631,2017
FORSYTH ,35,3226,893,193,25,4372,2017
FRANKLIN ,35,454,165,53,12,719,2017
GASTON ,67,1734,646,118,23,2588,2017
GATES ,1,71,24,1,3,100,2017
GRAHAM ,1,62,8,6,1,78,2017
GRANVILLE ,30,372,139,51,7,599,2017
GREENE ,5,143,51,6,0,205,2017
GUILFORD ,69,3811,1847,443,48,6218,2017
HALIFAX ,13,424,112,42,2,593,2017
HARNETT ,22,1333,410,99,22,1886,2017
HAYWOOD ,8,493,88,26,2,617,2017
HENDERSON ,11,841,141,33,14,1040,2017
HERTFORD ,1,173,47,8,1,230,2017
HOKE ,14,638,190,32,6,880,2017
HYDE ,0,24,8,1,1,34,2017
IREDELL ,30,1264,466,92,5,1857,2017
JACKSON ,9,291,44,24,4,372,2017
JOHNSTON ,33,1647,533,90,15,2318,2017
JONES ,2,69,27,8,0,106,2017
LEE ,16,476,182,53,32,759,2017
LENOIR ,7,399,175,33,2,616,2017
LINCOLN ,7,594,161,40,4,806,2017
MCDOWELL ,4,368,62,17,6,457,2017
MACON ,6,267,43,18,5,339,2017
MADISON ,4,144,24,2,3,177,2017
MARTIN ,1,192,44,10,1,248,2017
MECKLENBURG ,364,9419,3737,1168,58,14746,2017
MITCHELL ,0,109,20,3,3,135,2017
MONTGOMERY ,6,182,70,11,1,270,2017
MOORE ,24,747,266,66,6,1109,2017
NASH ,27,758,258,61,6,1110,2017
NEW HANOVER ,27,1528,604,85,22,2266,2017
NORTHAMPTON ,2,147,39,11,1,200,2017
ONSLOW ,112,2828,768,331,21,4060,2017
ORANGE ,12,858,240,56,13,1179,2017
PAMLICO ,2,52,14,4,1,73,2017
PASQUOTANK ,5,323,137,20,7,492,2017
PENDER ,13,460,147,31,7,658,2017
PERQUIMANS ,1,81,34,7,1,124,2017
PERSON ,6,260,139,34,4,443,2017
PITT ,26,1643,322,46,14,2051,2017
POLK ,3,106,22,10,20,161,2017
RANDOLPH ,22,1049,408,79,18,1576,2017
RICHMOND ,17,345,169,35,8,574,2017
ROBESON ,91,895,630,124,42,1782,2017
ROCKINGHAM ,15,661,142,37,5,860,2017
ROWAN ,37,1002,457,86,6,1588,2017
RUTHERFORD ,21,485,133,22,28,689,2017
SAMPSON ,24,549,183,61,14,831,2017
SCOTLAND ,6,309,113,20,7,455,2017
STANLY ,7,547,150,27,1,732,2017
STOKES ,2,321,60,17,4,404,2017
SURRY ,2,561,135,39,1,738,2017
SWAIN ,4,107,30,11,0,152,2017
TRANSYLVANIA ,4,216,27,4,1,252,2017
TYRRELL ,1,30,7,0,0,38,2017
UNION ,38,1539,644,149,12,2382,2017
VANCE ,51,322,133,72,6,584,2017
WAKE ,200,8543,2977,826,137,12683,2017
WARREN ,5,113,41,16,1,176,2017
WASHINGTON ,2,96,26,10,0,134,2017
WATAUGA ,5,332,37,22,2,398,2017
WAYNE ,22,1085,413,85,6,1611,2017
WILKES ,6,471,140,30,2,649,2017
WILSON ,18,645,227,44,5,939,2017
YADKIN ,1,294,83,13,1,392,2017
YANCEY ,3,152,14,1,0,170,2017
