Counties,White_Non_Hispanic,African_American_Non_Hispanic,Other_Non_Hispanic,Hispanic,Total_Race,Year
ALAMANCE ,1041,447,56,414,1958,2018
ALEXANDER ,290,18,8,28,344,2018
ALLEGHANY ,71,2,0,18,91,2018
ANSON ,118,128,5,12,263,2018
ASHE ,177,2,2,18,199,2018
AVERY ,147,0,2,14,163,2018
BEAUFORT ,227,133,7,49,416,2018
BERTIE ,60,113,1,5,179,2018
BLADEN ,177,136,11,47,371,2018
BRUNSWICK ,755,109,13,110,987,2018
BUNCOMBE ,1891,197,67,327,2482,2018
BURKE ,642,39,77,105,863,2018
CABARRUS ,1358,518,217,416,2509,2018
CALDWELL ,667,42,7,61,777,2018
CAMDEN ,87,8,1,2,98,2018
CARTERET ,424,32,8,37,501,2018
CASWELL ,127,72,4,15,218,2018
CATAWBA ,1115,170,135,273,1693,2018
CHATHAM ,424,69,16,141,650,2018
CHEROKEE ,224,5,12,17,258,2018
CHOWAN ,73,66,0,4,143,2018
CLAY ,78,1,0,4,83,2018
CLEVELAND ,789,294,13,66,1162,2018
COLUMBUS ,316,179,21,50,566,2018
CRAVEN ,825,296,72,144,1337,2018
CUMBERLAND ,2171,2131,313,787,5402,2018
CURRITUCK ,232,13,8,10,263,2018
DARE ,250,11,4,53,318,2018
DAVIDSON ,1307,213,39,192,1751,2018
DAVIE ,327,26,3,42,398,2018
DUPLIN ,299,154,3,251,707,2018
DURHAM ,1632,1364,256,899,4151,2018
EDGECOMBE ,164,368,4,57,593,2018
FORSYTH ,2049,1246,161,874,4330,2018
FRANKLIN ,421,173,18,85,697,2018
GASTON ,1628,546,62,290,2526,2018
GATES ,69,22,1,2,94,2018
GRAHAM ,60,0,12,6,78,2018
GRANVILLE ,344,169,9,68,590,2018
GREENE ,96,66,1,43,206,2018
GUILFORD ,2285,2540,490,800,6115,2018
HALIFAX ,186,307,29,15,537,2018
HARNETT ,1051,436,58,300,1845,2018
HAYWOOD ,496,8,8,29,541,2018
HENDERSON ,809,49,33,202,1093,2018
HERTFORD ,76,146,1,7,230,2018
HOKE ,377,214,84,171,846,2018
HYDE ,20,7,0,8,35,2018
IREDELL ,1346,268,67,210,1891,2018
JACKSON ,244,4,77,41,366,2018
JOHNSTON ,1386,411,47,455,2299,2018
JONES ,58,22,2,6,88,2018
LEE ,371,161,6,254,792,2018
LENOIR ,257,293,6,68,624,2018
LINCOLN ,695,56,20,85,856,2018
MCDOWELL ,358,12,7,41,418,2018
MACON ,256,1,6,59,322,2018
MADISON ,209,0,4,8,221,2018
MARTIN ,120,111,5,11,247,2018
MECKLENBURG ,5595,4702,1399,2955,14651,2018
MITCHELL ,135,3,0,11,149,2018
MONTGOMERY ,159,44,8,67,278,2018
MOORE ,821,166,37,144,1168,2018
NASH ,418,477,24,127,1046,2018
NEW HANOVER ,1427,378,55,286,2146,2018
NORTHAMPTON ,61,101,0,9,171,2018
ONSLOW ,2714,480,126,603,3923,2018
ORANGE ,679,132,130,193,1134,2018
PAMLICO ,70,14,3,3,90,2018
PASQUOTANK ,242,159,9,44,454,2018
PENDER ,437,93,6,87,623,2018
PERQUIMANS ,89,28,2,2,121,2018
PERSON ,236,126,4,34,400,2018
PITT ,852,940,72,221,2085,2018
POLK ,127,9,4,9,149,2018
RANDOLPH ,1071,94,45,310,1520,2018
RICHMOND ,270,208,34,43,555,2018
ROBESON ,310,345,780,264,1699,2018
ROCKINGHAM ,655,174,17,67,913,2018
ROWAN ,983,301,41,268,1593,2018
RUTHERFORD ,517,83,6,48,654,2018
SAMPSON ,366,161,25,282,834,2018
SCOTLAND ,131,199,94,19,443,2018
STANLY ,524,87,19,46,676,2018
STOKES ,366,12,2,16,396,2018
SURRY ,565,35,1,156,757,2018
SWAIN ,72,1,55,13,141,2018
TRANSYLVANIA ,244,7,6,21,278,2018
TYRRELL ,23,5,0,6,34,2018
UNION ,1580,341,109,425,2455,2018
VANCE ,151,341,12,58,562,2018
WAKE ,6470,2692,1397,2021,12580,2018
WARREN ,54,83,15,7,159,2018
WASHINGTON ,44,73,0,12,129,2018
WATAUGA ,313,6,11,24,354,2018
WAYNE ,742,526,54,316,1638,2018
WILKES ,566,36,8,86,696,2018
WILSON ,368,421,28,159,976,2018
YADKIN ,276,12,5,70,363,2018
YANCEY ,162,0,0,21,183,2018
