Counties,0 - 499 gms,500 - 1499 gms,1500 - 2499 gms,2500 - 8165 gms,Unknown,Total,Year
ALAMANCE ,4,26,142,1691,0,1863,2019
ALEXANDER ,1,3,27,325,1,357,2019
ALLEGHANY ,0,0,8,71,0,79,2019
ANSON ,0,5,34,215,0,254,2019
ASHE ,0,2,20,182,0,204,2019
AVERY ,0,2,6,127,0,135,2019
BEAUFORT ,2,10,42,379,0,433,2019
BERTIE ,0,1,17,143,0,161,2019
BLADEN ,0,5,20,319,0,344,2019
BRUNSWICK ,1,6,75,944,0,1026,2019
BUNCOMBE ,4,28,165,2266,1,2464,2019
BURKE ,1,11,65,812,1,890,2019
CABARRUS ,6,28,168,2335,0,2537,2019
CALDWELL ,3,12,77,789,1,882,2019
CAMDEN ,0,1,13,90,0,104,2019
CARTERET ,0,3,31,487,0,521,2019
CASWELL ,1,4,12,192,0,209,2019
CATAWBA ,3,23,124,1537,0,1687,2019
CHATHAM ,1,5,44,558,1,609,2019
CHEROKEE ,1,4,15,225,0,245,2019
CHOWAN ,0,2,15,106,0,123,2019
CLAY ,0,0,4,82,0,86,2019
CLEVELAND ,0,18,103,1025,0,1146,2019
COLUMBUS ,2,5,56,499,0,562,2019
CRAVEN ,3,13,109,1194,0,1319,2019
CUMBERLAND ,11,98,449,4903,1,5462,2019
CURRITUCK ,0,2,14,243,0,259,2019
DARE ,0,3,19,288,0,310,2019
DAVIDSON ,1,28,156,1589,1,1775,2019
DAVIE ,1,8,23,370,0,402,2019
DUPLIN ,0,9,57,652,0,718,2019
DURHAM ,6,58,303,3787,4,4158,2019
EDGECOMBE ,2,7,59,504,0,572,2019
FORSYTH ,14,80,376,3935,5,4410,2019
FRANKLIN ,1,9,54,705,1,770,2019
GASTON ,4,46,214,2335,0,2599,2019
GATES ,0,1,5,91,0,97,2019
GRAHAM ,0,1,6,90,0,97,2019
GRANVILLE ,1,9,43,514,1,568,2019
GREENE ,1,5,18,201,0,225,2019
GUILFORD ,20,87,473,5463,2,6045,2019
HALIFAX ,2,11,76,448,0,537,2019
HARNETT ,5,31,136,1688,0,1860,2019
HAYWOOD ,1,10,45,469,0,525,2019
HENDERSON ,2,5,69,946,0,1022,2019
HERTFORD ,0,3,20,172,0,195,2019
HOKE ,3,20,64,780,0,867,2019
HYDE ,0,0,3,34,0,37,2019
IREDELL ,4,21,116,1743,0,1884,2019
JACKSON ,0,5,19,348,0,372,2019
JOHNSTON ,5,24,190,2303,0,2522,2019
JONES ,0,0,5,87,0,92,2019
LEE ,3,16,66,695,1,781,2019
LENOIR ,3,20,57,538,1,619,2019
LINCOLN ,0,9,62,800,0,871,2019
MCDOWELL ,1,6,38,388,1,434,2019
MACON ,0,4,22,292,0,318,2019
MADISON ,0,3,10,168,0,181,2019
MARTIN ,0,6,17,198,0,221,2019
MECKLENBURG ,26,243,1184,12940,5,14398,2019
MITCHELL ,0,0,8,119,0,127,2019
MONTGOMERY ,0,1,26,251,0,278,2019
MOORE ,0,9,69,1069,0,1147,2019
NASH ,1,25,100,975,0,1101,2019
NEW HANOVER ,3,25,143,2000,1,2172,2019
NORTHAMPTON ,0,1,18,146,0,165,2019
ONSLOW ,6,33,248,3534,0,3821,2019
ORANGE ,1,15,86,1062,0,1164,2019
PAMLICO ,1,1,5,66,0,73,2019
PASQUOTANK ,2,6,36,430,0,474,2019
PENDER ,2,8,42,572,0,624,2019
PERQUIMANS ,0,0,8,110,0,118,2019
PERSON ,2,7,41,385,0,435,2019
PITT ,12,49,199,1818,1,2079,2019
POLK ,0,3,5,158,0,166,2019
RANDOLPH ,5,19,109,1413,0,1546,2019
RICHMOND ,2,6,48,505,0,561,2019
ROBESON ,6,30,164,1530,1,1731,2019
ROCKINGHAM ,2,19,69,794,1,885,2019
ROWAN ,5,29,125,1388,1,1548,2019
RUTHERFORD ,0,12,50,618,0,680,2019
SAMPSON ,1,8,60,658,0,727,2019
SCOTLAND ,1,13,51,377,0,442,2019
STANLY ,0,9,40,619,0,668,2019
STOKES ,2,1,26,341,0,370,2019
SURRY ,2,12,55,697,0,766,2019
SWAIN ,0,6,11,164,0,181,2019
TRANSYLVANIA ,0,10,21,231,0,262,2019
TYRRELL ,0,0,1,29,0,30,2019
UNION ,2,22,132,2122,1,2279,2019
VANCE ,3,13,51,503,0,570,2019
WAKE ,30,171,763,11724,1,12689,2019
WARREN ,0,2,17,126,0,145,2019
WASHINGTON ,3,3,15,111,0,132,2019
WATAUGA ,0,4,19,290,0,313,2019
WAYNE ,7,30,142,1440,0,1619,2019
WILKES ,1,15,63,590,0,669,2019
WILSON ,4,22,100,850,0,976,2019
YADKIN ,1,7,30,336,1,375,2019
YANCEY ,0,0,14,160,0,174,2019
