first_trimester,second_trimester,third_trimester,unknown_care,year,male,female,unknown_gender,singleton,twins,other_multiples,white_non_hispanic,african_american_non_hispanic,other_non_hispanic,hispanic,gms_0_499,gms_500_1499,gms_1500_2499,gms_2500_8165,unknown_weight,label,pred,counties,pop
312,185,49,4,2019,279,282,0,539,22,0,285,191,26,59,2,6,48,505,0,44829,50260.68734590709,RICHMOND,44829
148,41,10,1,2016,96,107,0,192,8,3,146,45,1,11,0,7,19,177,0,22755,18637.7787288744,CASWELL,22755
129,22,12,1,2019,90,75,0,161,4,0,57,99,3,6,0,1,18,146,0,19483,14990.269007693045,NORTHAMPTON,19483
327,99,18,1,2016,211,244,0,439,16,0,152,211,85,7,2,8,42,403,0,35309,43525.98468960589,SCOTLAND,35309
132,31,6,1,2017,91,80,0,165,6,0,49,117,1,4,2,3,18,148,0,19263,13834.976014386397,BERTIE,19263
1298,284,64,9,2018,846,847,0,1655,38,0,1115,170,135,273,2,24,98,1569,0,158687,161972.63912764564,CATAWBA,158687
418,173,59,5,2019,340,329,0,643,26,0,554,35,3,77,1,15,63,590,0,68412,56931.38313955814,WILKES,68412
264,53,7,5,2016,169,164,0,331,2,0,257,2,11,63,0,3,26,304,0,34262,36482.22234806325,MACON,34262
1629,533,94,10,2018,1175,1124,0,2230,69,0,1386,411,47,455,4,27,174,2094,0,202692,207580.26254261564,JOHNSTON,202692
3872,1886,412,34,2016,3227,3031,0,6035,220,3,2412,2516,496,834,21,84,466,5686,1,524265,491820.70214083605,GUILFORD,524265
3961,1113,289,15,2019,2801,2661,0,5244,212,6,2155,2154,308,845,11,98,449,4903,1,335509,404368.8692121506,CUMBERLAND,335509
2960,882,220,30,2018,2089,2062,0,4004,132,15,1632,1364,256,899,7,63,292,3788,1,316979,330616.5710981954,DURHAM,316979
870,199,51,35,2019,591,573,0,1113,48,3,693,167,125,179,1,15,86,1062,0,148476,104327.09692773595,ORANGE,148476
278,153,39,93,2017,282,296,0,560,18,0,310,190,22,56,4,13,51,510,0,56047,57099.85422710795,COLUMBUS,56047
250,78,6,8,2017,169,175,0,335,9,0,275,7,4,58,0,6,21,317,0,36199,39842.62493482977,DARE,36199
2987,620,242,34,2016,2051,1908,0,3866,93,0,2803,484,126,546,7,50,197,3705,0,192314,316765.2139904201,ONSLOW,192314
65,12,3,2,2016,48,36,0,80,4,0,73,1,6,4,0,1,3,80,0,8531,9394.320219417568,GRAHAM,8531
322,133,72,6,2017,287,297,0,564,20,0,169,329,7,79,0,10,60,513,1,44281,46962.379780485295,VANCE,44281
52,18,5,1,2019,47,32,0,77,2,0,62,0,1,16,0,0,8,71,0,11137,12376.99460964417,ALLEGHANY,11137
158,31,11,0,2019,99,105,0,198,6,0,180,3,1,20,0,2,20,182,0,27203,24321.6879221173,ASHE,27203
80,16,3,1,2017,53,49,0,98,4,0,82,1,0,19,0,3,6,93,0,10988,12097.604465007782,ALLEGHANY,10988
841,141,33,14,2017,526,514,0,1021,16,3,771,30,22,217,0,18,60,962,0,115216,97275.9582314589,HENDERSON,115216
425,90,23,1,2016,280,266,0,536,10,0,451,35,14,46,2,6,31,507,0,68808,51534.081240635365,CARTERET,68808
186,44,4,19,2017,127,130,0,248,6,3,227,14,7,9,0,8,15,234,0,26290,30427.65828092443,CURRITUCK,26290
1671,254,52,24,2016,1019,1003,1,1954,63,6,924,870,58,171,13,39,151,1818,2,177171,175047.0155094294,PITT,177171
424,166,39,7,2017,318,335,0,628,22,3,267,148,8,230,0,10,50,591,2,58943,71618.51731669437,DUPLIN,58943
8777,4021,1111,48,2019,7346,7051,1,13936,450,12,5428,4506,1342,3122,26,243,1184,12940,5,1110356,1148423.9186508916,MECKLENBURG,1110356
640,176,29,4,2018,417,446,0,836,27,0,642,39,77,105,3,12,71,774,3,90405,112450.51414352469,BURKE,90405
27,4,1,0,2018,16,18,0,34,0,0,23,5,0,6,0,0,1,33,0,4115,8385.859820079524,TYRRELL,4115
1015,289,113,7,2016,759,680,0,1405,34,0,905,301,90,143,1,19,98,1321,0,102632,106813.42901806021,CRAVEN,102632
254,138,31,7,2019,229,213,0,428,14,0,141,199,87,15,1,13,51,377,0,34823,40903.06778947078,SCOTLAND,34823
1539,644,149,12,2017,1171,1211,0,2302,71,9,1498,311,108,465,7,20,145,2210,0,231350,217113.47295491956,UNION,231350
1387,638,110,15,2019,1108,1064,0,2108,64,0,1462,380,54,276,3,25,143,2000,1,234473,215493.97789955046,NEW HANOVER,234473
475,133,21,11,2018,355,295,0,622,25,3,424,69,16,141,1,11,49,589,0,73127,58249.69195287116,CHATHAM,73127
502,153,26,1,2016,357,333,0,668,22,0,517,98,30,45,1,16,58,615,0,60826,63259.927944526076,STANLY,60826
1298,448,104,8,2018,976,915,0,1830,58,3,1346,268,67,210,3,25,158,1705,0,178332,168584.2128517367,IREDELL,178332
62,8,6,1,2017,38,40,0,74,4,0,70,0,7,1,0,4,4,70,0,8524,8461.355698214378,GRAHAM,8524
1756,645,135,22,2017,1376,1217,0,2480,113,0,1462,500,204,427,5,29,183,2376,0,206988,215549.13354993984,CABARRUS,206988
67,13,1,2,2018,48,35,0,81,2,0,78,1,0,4,0,1,4,78,0,11124,12364.50322696101,CLAY,11124
71,24,1,3,2017,55,45,0,96,4,0,64,30,0,6,1,2,12,85,0,11514,12022.674795947503,GATES,11514
587,209,67,5,2019,448,434,0,854,28,0,735,62,10,75,3,12,77,789,1,82178,85375.36248943722,CALDWELL,82178
2957,1055,248,28,2016,2152,2194,0,4202,129,15,1652,1422,298,974,8,54,313,3970,1,307826,358675.9161053281,DURHAM,307826
426,214,38,10,2018,364,343,0,681,26,0,299,154,3,251,1,6,42,658,0,58991,65648.86680276599,DUPLIN,58991
