counties,none_care,first_trimester,second_trimester,third_trimester,unknown_care,year,male,female,unknown_gender,singleton,twins,other_multiples,unknown_plural,white_non_hispanic,african_american_non_hispanic,other_non_hispanic,hispanic,gms_0_499,gms_500_1499,gms_1500_2499,gms_2500_8165,unknown_weight,pop
ALAMANCE,36,1282,435,87,16,2016,980,876,0,1812,44,0,0,1018,398,49,391,6,22,146,1682,0,160283
ALEXANDER,9,253,62,19,0,2016,173,170,0,337,6,0,0,296,11,8,28,1,4,28,310,0,37133
ALLEGHANY,1,69,16,9,0,2016,50,45,0,91,4,0,0,81,2,0,12,0,0,7,88,0,10919
ANSON,5,171,71,18,1,2016,141,125,0,260,6,0,0,110,138,6,12,0,7,22,237,0,25165
ASHE,1,167,28,12,1,2016,109,100,0,201,8,0,0,187,2,1,19,1,4,19,185,0,26600
AVERY,3,129,13,1,3,2016,81,68,0,143,6,0,0,126,0,2,21,0,7,15,127,0,17442
BEAUFORT,5,335,78,8,5,2016,209,222,0,427,4,0,0,228,135,5,63,1,8,29,393,0,47369
BERTIE,1,149,34,6,0,2016,86,104,0,187,3,0,0,51,133,1,5,2,2,17,169,0,19423
BLADEN,7,200,102,23,1,2016,176,157,0,323,10,0,0,155,119,11,48,2,5,36,290,0,33638
BRUNSWICK,19,692,184,55,28,2016,507,471,0,939,36,3,0,722,131,23,102,4,12,96,865,1,126304
BUNCOMBE,29,2286,217,41,22,2016,1322,1273,0,2508,86,1,0,2035,198,53,309,4,36,190,2365,0,254955
BURKE,20,604,222,45,9,2016,447,453,0,870,30,0,0,676,39,71,114,2,10,72,815,1,89451
CABARRUS,34,1665,633,141,4,2016,1298,1179,0,2390,84,3,0,1447,443,163,424,2,30,200,2245,0,201639
CALDWELL,4,603,171,42,2,2016,419,403,0,786,36,0,0,707,43,10,62,2,15,78,727,0,81766
CAMDEN,2,67,17,1,3,2016,49,41,0,90,0,0,0,77,7,4,2,0,1,3,86,0,10397
CARTERET,7,425,90,23,1,2016,280,266,0,536,10,0,0,451,35,14,46,2,6,31,507,0,68808
CASWELL,3,148,41,10,1,2016,96,107,0,192,8,3,0,146,45,1,11,0,7,19,177,0,22755
CATAWBA,22,1275,306,55,6,2016,860,804,0,1603,58,3,0,1068,176,134,286,2,9,128,1525,0,156448
CHATHAM,3,464,143,23,7,2016,344,296,0,612,25,3,0,408,75,24,133,1,8,57,573,1,69642
CHEROKEE,4,178,55,14,6,2016,150,107,0,251,6,0,0,235,4,7,11,0,0,26,231,0,27809
CHOWAN,0,91,18,3,1,2016,54,59,0,109,4,0,0,56,54,0,3,0,0,12,101,0,14201
CLAY,0,79,18,3,1,2016,57,44,0,97,4,0,0,89,2,2,8,0,0,7,94,0,10749
CLEVELAND,17,592,397,41,12,2016,544,515,0,1023,36,0,0,733,260,18,48,2,20,89,948,0,96960
COLUMBUS,11,311,143,33,95,2016,288,305,0,577,16,0,0,324,188,20,61,2,10,64,517,0,56292
CRAVEN,15,1015,289,113,7,2016,759,680,0,1405,34,0,0,905,301,90,143,1,19,98,1321,0,102632
CUMBERLAND,83,3917,1128,297,21,2016,2826,2620,0,5278,162,6,0,2332,2042,301,771,21,86,424,4914,1,333167
CURRITUCK,3,202,36,6,15,2016,135,127,0,254,8,0,0,231,16,3,12,0,0,16,246,0,25640
DARE,1,231,74,4,9,2016,171,148,0,307,12,0,0,251,7,3,58,0,3,16,300,0,35829
DAVIDSON,31,1237,410,87,6,2016,896,875,0,1721,50,0,0,1344,189,34,204,8,26,139,1598,0,164270
DAVIE,0,308,95,16,1,2016,226,194,0,406,14,0,0,338,30,4,48,0,4,36,380,0,41921
DUPLIN,9,461,188,40,8,2016,360,346,0,688,18,0,0,277,148,7,274,2,4,60,640,0,59275
DURHAM,58,2957,1055,248,28,2016,2152,2194,0,4202,129,15,0,1652,1422,298,974,8,54,313,3970,1,307826
EDGECOMBE,14,290,219,42,2,2016,296,271,0,529,38,0,0,144,385,0,38,1,12,62,491,1,53283
FORSYTH,35,3309,873,228,50,2016,2342,2153,0,4317,178,0,0,2188,1200,187,920,14,68,380,4031,2,371260
FRANKLIN,49,408,182,39,5,2016,342,341,0,655,28,0,0,399,197,10,77,2,9,53,618,1,64676
GASTON,35,1592,734,146,17,2016,1295,1229,0,2424,91,9,0,1682,492,47,303,4,34,197,2289,0,216622
GATES,2,77,23,6,3,2016,54,57,0,109,2,0,0,78,28,2,3,0,1,9,101,0,11569
GRAHAM,2,65,12,3,2,2016,48,36,0,80,4,0,0,73,1,6,4,0,1,3,80,0,8531
GRANVILLE,26,351,151,36,6,2016,285,285,0,548,22,0,0,316,168,14,72,2,12,45,510,1,58684
GREENE,3,162,27,10,5,2016,96,111,0,199,8,0,0,85,66,3,53,2,2,23,179,1,21078
GUILFORD,54,3872,1886,412,34,2016,3227,3031,0,6035,220,3,0,2412,2516,496,834,21,84,466,5686,1,524265
HALIFAX,9,389,118,39,4,2016,277,282,0,538,18,3,0,182,337,17,23,0,13,45,501,0,51815
HARNETT,29,1318,392,109,13,2016,959,902,0,1762,93,6,0,1136,371,44,310,3,30,138,1689,1,130674
HAYWOOD,8,490,89,22,7,2016,343,273,0,596,20,0,0,566,13,8,29,1,10,47,556,2,60405
HENDERSON,17,883,149,23,17,2016,563,526,0,1052,34,3,0,803,42,33,211,3,13,81,992,0,113583
HERTFORD,3,175,34,10,1,2016,112,111,0,217,6,0,0,59,148,5,11,0,6,16,201,0,24209
HOKE,14,696,187,35,3,2016,489,446,0,900,32,3,0,467,220,93,155,2,13,73,847,0,52981
HYDE,0,32,5,2,0,2016,23,16,0,39,0,0,0,20,8,0,11,0,0,1,38,0,5434
IREDELL,33,1247,530,109,5,2016,994,930,0,1863,61,0,0,1304,305,88,227,2,31,122,1769,0,172466
JACKSON,8,291,61,26,6,2016,202,190,0,380,12,0,0,268,7,78,39,1,7,30,354,0,42622
JOHNSTON,30,1665,558,65,18,2016,1170,1166,0,2262,71,3,0,1476,359,47,454,1,25,178,2132,0,190843
JONES,4,54,19,5,1,2016,49,34,0,79,4,0,0,63,15,0,5,0,3,1,79,0,9588
LEE,18,475,240,56,21,2016,413,397,0,785,25,0,0,389,169,17,235,0,22,51,735,2,59646
LENOIR,13,472,129,21,12,2016,314,333,0,631,16,0,0,255,305,6,81,2,13,53,579,0,57240
LINCOLN,6,591,177,35,0,2016,411,398,0,781,28,0,0,676,47,16,70,2,13,66,728,0,81229
MCDOWELL,8,373,50,12,1,2016,249,195,0,425,19,0,0,389,11,9,35,0,8,48,388,0,44866
MACON,4,264,53,7,5,2016,169,164,0,331,2,0,0,257,2,11,63,0,3,26,304,0,34262
MADISON,3,172,16,2,3,2016,98,98,0,194,2,0,0,189,1,1,5,0,2,17,177,0,21367
MARTIN,4,187,41,3,2,2016,127,110,0,231,6,0,0,101,115,2,19,0,7,24,206,0,23122
